epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7875.28,0.90686,0.53199,0.93711,0.95762,0.96271,0.98432,0.77269,0.73176,0.35597,0.89543,0.007228,0.007228,0.007228
44,8056.81,0.89504,0.52276,0.93511,0.94702,0.9763,0.98616,0.78549,0.71747,0.34981,0.89236,0.007162,0.007162,0.007162
45,8237.58,0.88658,0.52046,0.93179,0.96439,0.96354,0.985,0.78375,0.7134,0.34635,0.89115,0.007096,0.007096,0.007096
46,8418.35,0.88216,0.51678,0.93163,0.96005,0.97343,0.98713,0.78618,0.70806,0.34059,0.88764,0.00703,0.00703,0.00703
47,8599.57,0.8859,0.51307,0.92981,0.96042,0.97374,0.98654,0.78538,0.70759,0.33907,0.88894,0.006964,0.006964,0.006964
48,8782.75,0.87628,0.51322,0.9288,0.96143,0.97372,0.9862,0.79393,0.68731,0.3338,0.88401,0.006898,0.006898,0.006898
49,8964.67,0.87641,0.5099,0.93077,0.96744,0.96543,0.98717,0.79559,0.6814,0.33184,0.88256,0.006832,0.006832,0.006832
50,9146.65,0.86379,0.5076,0.9226,0.96826,0.96775,0.98753,0.79977,0.66427,0.32697,0.87722,0.006766,0.006766,0.006766
51,9328.1,0.86926,0.50906,0.92625,0.96294,0.9678,0.98702,0.80326,0.66448,0.32614,0.87613,0.0067,0.0067,0.0067
52,9510.05,0.86293,0.50448,0.92565,0.96763,0.96887,0.98772,0.80244,0.65905,0.32134,0.87698,0.006634,0.006634,0.006634
53,9692.25,0.8633,0.50029,0.92549,0.95493,0.97575,0.98771,0.8005,0.67282,0.32444,0.88088,0.006568,0.006568,0.006568
54,9874.03,0.85081,0.50383,0.92151,0.96487,0.96974,0.98777,0.80655,0.65032,0.31687,0.87351,0.006502,0.006502,0.006502
55,10056.2,0.85489,0.50004,0.92073,0.97052,0.96913,0.98888,0.80769,0.65198,0.31512,0.87337,0.006436,0.006436,0.006436
